TOWN_ID,PUB_ACCESS,LEV_PROT,GIS_ACRES,SHAPE_AREA,PRIM_PURP,Town,NAME,Households,Median income,,,
1.0,"Y, L, N","P, L",978.40631816,3959469.89225006,"C, H, W, R, B",ABINGTON,"Abington town, Plymouth County, Massachusetts",6083,113155,,,
2.0,"L, Y, N, X","N, P, L, X",3061.61312519,12389922.61907100,"R, C, W, H, B, O, A",ACTON,"Acton town, Middlesex County, Massachusetts",8931,138163,,,
3.0,"Y, X, N, L","P, L, X, N",1641.5439655,6643099.86928247,"C, R, A, H, W",ACUSHNET,"Acushnet town, Bristol County, Massachusetts",4091,78362,,,
4.0,"Y, L, N","P, L, N",7356.35764068,29770121.2111846,"R, F, B, A, H, C, W",ADAMS,"Adams town, Berkshire County, Massachusetts",3948,49691,,,
5.0,"L, N, Y, X","N, P, L, X",3292.82517888,13325590.72301720,"R, A, C, H, O, W, B",AGAWAM,"Agawam Town city, Hampden County, Massachusetts",11785,78619,,,
6.0,"N, Y, X, L","P, L, X",2184.49229156,8840313.473942260,"A, H, C, R",ALFORD,"Alford town, Berkshire County, Massachusetts",220,106944,,,
7.0,"N, Y, X, L","P, L, N",1135.53719382,4595355.985751630,"C, R, H, O, A",AMESBURY,"Amesbury Town city, Essex County, Massachusetts",7326,87433,,,
8.0,"N, Y, L, X","P, L, N",6395.23432851,25880595.823845000,"A, B, C, R, H, W",AMHERST,"Amherst Town city, Hampshire County, Massachusetts",9328,61127,,,
9.0,"X, Y, N, L","P, L, X, N, T",5050.02358072,20436743.137227100,"C, H, R, B, A, W",ANDOVER,"Andover town, Essex County, Massachusetts",13235,155252,,,
10.0,"N, L, Y, X","P, L, N, T",364.91541699,1476761.814557750,"C, B, H, R, F",ARLINGTON,"Arlington town, Middlesex County, Massachusetts",19308,125701,,,
11.0,"Y, L, X, N","P, L",8279.90077319,33476424.2742948,"B, C, W, H, A, X",ASHBURNHAM,"Ashburnham town, Worcester County, Massachusetts",2130,104074,,,
